,date,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,uv_index_max,uv_index_clear_sky_max,rain_sum,showers_sum,snowfall_sum,precipitation_sum,precipitation_hours,precipitation_probability_max,shortwave_radiation_sum,et0_fao_evapotranspiration,cloud_cover_mean,dew_point_2m_mean,et0_fao_evapotranspiration_sum,relative_humidity_2m_mean,snowfall_water_equivalent_sum,pressure_msl_mean,surface_pressure_mean,visibility_mean,wind_speed_10m_mean,soil_moisture_0_to_100cm_mean,soil_temperature_0_to_100cm_mean,code_bss
0,2017-01-01,42.685696389,2.685378283,3,9.8,-0.6,8.0,-4.4,2017-01-01T07:19,2017-01-01T16:26,32800.7,30388.55,,,0.0,0.0,0.0,0.0,0.0,,7.88,0.95,47,-0.1,0.95,72,0.0,1024.5,1011.0,,5.3,0.244,9.2,10906X0039/C2-1
1,2017-01-02,42.685696389,2.685378283,3,9.0,4.4,7.9,1.4,2017-01-02T07:19,2017-01-02T16:27,32850.58,17082.26,,,0.0,0.0,0.0,0.0,0.0,,4.29,0.56,93,3.6,0.56,84,0.0,1022.0,1008.6,,4.6,0.244,9.2,10906X0039/C2-1
2,2017-01-03,42.685696389,2.685378283,1,11.7,3.5,6.9,-0.6,2017-01-03T07:19,2017-01-03T16:28,32904.28,30434.51,,,0.0,0.0,0.0,0.0,0.0,,8.02,1.59,3,-1.9,1.59,57,0.0,1023.5,1010.1,,11.8,0.244,8.9,10906X0039/C2-1
3,2017-01-04,42.685696389,2.685378283,2,10.6,3.6,4.4,-3.0,2017-01-04T07:19,2017-01-04T16:29,32961.75,30774.94,,,0.0,0.0,0.0,0.0,0.0,,8.08,2.52,5,-3.3,2.52,51,0.0,1022.9,1009.5,,25.2,0.244,8.8,10906X0039/C2-1
4,2017-01-05,42.685696389,2.685378283,2,7.1,3.0,1.0,-5.1,2017-01-05T07:19,2017-01-05T16:30,33022.91,30734.63,,,0.0,0.0,0.0,0.0,0.0,,6.93,2.07,14,-3.2,2.07,57,0.0,1026.5,1012.9,,30.5,0.243,8.7,10906X0039/C2-1
5,2017-01-06,42.685696389,2.685378283,0,8.7,0.4,3.4,-3.4,2017-01-06T07:19,2017-01-06T16:31,33087.68,31069.03,,,0.0,0.0,0.0,0.0,0.0,,8.43,1.94,1,-5.0,1.94,51,0.0,1029.7,1016.1,,17.9,0.242,8.5,10906X0039/C2-1
6,2017-01-07,42.685696389,2.685378283,1,11.7,1.5,6.8,-3.3,2017-01-07T07:19,2017-01-07T16:32,33155.99,31027.07,,,0.0,0.0,0.0,0.0,0.0,,8.31,2.44,7,-9.1,2.44,35,0.0,1029.8,1016.2,,14.2,0.242,8.1,10906X0039/C2-1
7,2017-01-08,42.685696389,2.685378283,3,10.6,7.1,4.8,-0.3,2017-01-08T07:19,2017-01-08T16:33,33227.75,23370.68,,,0.0,0.0,0.0,0.0,0.0,,5.26,2.68,60,-2.1,2.68,51,0.0,1027.5,1014.2,,29.4,0.242,8.4,10906X0039/C2-1
8,2017-01-09,42.685696389,2.685378283,3,9.9,5.0,3.9,-0.9,2017-01-09T07:19,2017-01-09T16:34,33303.06,31306.2,,,0.0,0.0,0.0,0.0,0.0,,8.32,2.08,27,-0.2,2.08,60,0.0,1025.4,1012.0,,24.5,0.242,8.7,10906X0039/C2-1
9,2017-01-10,42.685696389,2.685378283,61,10.9,6.3,6.6,0.1,2017-01-10T07:18,2017-01-10T16:35,33382.75,14946.32,,,4.2,0.0,0.0,4.2,10.0,,3.35,1.32,85,2.3,1.32,69,0.0,1014.4,1001.2,,20.0,0.242,8.8,10906X0039/C2-1
10,2017-01-11,42.685696389,2.685378283,3,12.6,6.1,9.7,-0.2,2017-01-11T07:18,2017-01-11T16:36,33466.81,26253.95,,,0.0,0.0,0.0,0.0,0.0,,5.55,1.3,59,3.9,1.3,71,0.0,1020.3,1007.1,,15.4,0.242,9.0,10906X0039/C2-1
11,2017-01-12,42.685696389,2.685378283,51,16.0,8.0,13.9,6.2,2017-01-12T07:18,2017-01-12T16:37,33555.05,26820.76,,,0.2,0.0,0.0,0.2,2.0,,7.7,1.35,54,6.2,1.35,72,0.0,1018.2,1005.1,,8.5,0.241,9.5,10906X0039/C2-1
12,2017-01-13,42.685696389,2.685378283,53,11.6,4.3,7.6,-1.5,2017-01-13T07:17,2017-01-13T16:38,33647.29,30451.46,,,2.7,0.0,0.0,2.7,11.0,,7.25,1.8,26,0.5,1.8,65,0.0,1016.7,1003.4,,27.2,0.241,9.5,10906X0039/C2-1
13,2017-01-14,42.685696389,2.685378283,3,5.7,3.3,-0.9,-3.9,2017-01-14T07:17,2017-01-14T16:39,33743.33,31765.34,,,0.0,0.0,0.0,0.0,0.0,,8.51,2.0,18,-3.8,2.0,56,0.0,1021.9,1008.4,,27.8,0.24,9.0,10906X0039/C2-1
14,2017-01-15,42.685696389,2.685378283,51,6.1,3.9,0.3,-3.2,2017-01-15T07:16,2017-01-15T16:40,33843.01,28501.68,,,0.8,0.0,0.0,0.8,5.0,,6.82,1.71,77,-1.1,1.71,65,0.0,1022.3,1008.9,,29.7,0.239,8.8,10906X0039/C2-1
15,2017-01-16,42.685696389,2.685378283,51,7.9,1.9,3.0,-5.4,2017-01-16T07:16,2017-01-16T16:41,33946.12,27859.19,,,1.4,0.0,0.0,1.4,11.0,,4.79,1.4,55,1.0,1.4,71,0.0,1018.6,1005.2,,25.9,0.243,8.8,10906X0039/C2-1
16,2017-01-17,42.685696389,2.685378283,2,2.1,-0.9,-6.0,-8.9,2017-01-17T07:15,2017-01-17T16:43,34052.5,32663.93,,,0.0,0.0,0.0,0.0,0.0,,8.86,1.91,12,-8.4,1.91,52,0.0,1021.4,1007.7,,31.8,0.244,8.2,10906X0039/C2-1
