,code_bss,bss_id,date_mesure,niveau_nappe_eau,mode_obtention,nom_producteur
0,10906X0039/C2-1,BSS002MNYD,2000-04-14,102.31,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
1,10906X0039/C2-1,BSS002MNYD,2000-04-15,102.29,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
2,10906X0039/C2-1,BSS002MNYD,2000-04-16,102.28,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
3,10906X0039/C2-1,BSS002MNYD,2000-04-17,102.29,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
4,10906X0039/C2-1,BSS002MNYD,2000-04-18,102.31,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
5,10906X0039/C2-1,BSS002MNYD,2000-04-19,102.34,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
6,10906X0039/C2-1,BSS002MNYD,2000-04-20,102.36,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
7,10906X0039/C2-1,BSS002MNYD,2000-04-21,102.38,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
8,10906X0039/C2-1,BSS002MNYD,2000-04-22,102.39,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
9,10906X0039/C2-1,BSS002MNYD,2000-04-23,102.4,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
10,10906X0039/C2-1,BSS002MNYD,2000-04-24,102.39,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
11,10906X0039/C2-1,BSS002MNYD,2000-04-25,102.37,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
12,10906X0039/C2-1,BSS002MNYD,2000-04-26,102.4,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
13,10906X0039/C2-1,BSS002MNYD,2000-04-27,102.42,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
14,10906X0039/C2-1,BSS002MNYD,2000-04-28,102.42,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
15,10906X0039/C2-1,BSS002MNYD,2000-04-29,102.42,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
16,10906X0039/C2-1,BSS002MNYD,2000-04-30,102.44,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
17,10906X0039/C2-1,BSS002MNYD,2000-05-01,102.45,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
18,10906X0039/C2-1,BSS002MNYD,2000-05-02,102.45,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
19,10906X0039/C2-1,BSS002MNYD,2000-05-03,102.47,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
20,10906X0039/C2-1,BSS002MNYD,2000-05-04,102.48,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
21,10906X0039/C2-1,BSS002MNYD,2000-05-05,102.52,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
22,10906X0039/C2-1,BSS002MNYD,2000-05-06,102.56,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
23,10906X0039/C2-1,BSS002MNYD,2000-05-07,102.56,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
24,10906X0039/C2-1,BSS002MNYD,2000-05-08,102.55,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
25,10906X0039/C2-1,BSS002MNYD,2000-05-09,102.53,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
26,10906X0039/C2-1,BSS002MNYD,2000-05-10,102.53,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
27,10906X0039/C2-1,BSS002MNYD,2000-05-11,102.54,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
28,10906X0039/C2-1,BSS002MNYD,2000-05-12,102.49,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
29,10906X0039/C2-1,BSS002MNYD,2000-05-13,102.46,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
30,10906X0039/C2-1,BSS002MNYD,2000-05-14,102.43,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
31,10906X0039/C2-1,BSS002MNYD,2000-05-15,102.42,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
32,10906X0039/C2-1,BSS002MNYD,2000-05-16,102.45,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
33,10906X0039/C2-1,BSS002MNYD,2000-05-17,102.47,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
34,10906X0039/C2-1,BSS002MNYD,2000-05-18,102.45,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
35,10906X0039/C2-1,BSS002MNYD,2000-05-19,102.42,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
36,10906X0039/C2-1,BSS002MNYD,2000-05-20,102.4,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
37,10906X0039/C2-1,BSS002MNYD,2000-05-21,102.4,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
38,10906X0039/C2-1,BSS002MNYD,2000-05-22,102.43,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
39,10906X0039/C2-1,BSS002MNYD,2000-05-23,102.46,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
40,10906X0039/C2-1,BSS002MNYD,2000-05-24,102.48,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
41,10906X0039/C2-1,BSS002MNYD,2000-05-25,102.5,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
42,10906X0039/C2-1,BSS002MNYD,2000-05-26,102.53,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
43,10906X0039/C2-1,BSS002MNYD,2000-05-27,102.58,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
44,10906X0039/C2-1,BSS002MNYD,2000-05-28,102.61,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
45,10906X0039/C2-1,BSS002MNYD,2000-05-29,102.64,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
46,10906X0039/C2-1,BSS002MNYD,2000-05-30,102.67,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
47,10906X0039/C2-1,BSS002MNYD,2000-05-31,102.68,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
48,10906X0039/C2-1,BSS002MNYD,2000-06-01,102.7,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
49,10906X0039/C2-1,BSS002MNYD,2000-06-02,102.75,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
50,10906X0039/C2-1,BSS002MNYD,2000-06-03,102.79,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
51,10906X0039/C2-1,BSS002MNYD,2000-06-04,102.82,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
52,10906X0039/C2-1,BSS002MNYD,2000-06-05,102.86,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
53,10906X0039/C2-1,BSS002MNYD,2000-06-06,102.87,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
54,10906X0039/C2-1,BSS002MNYD,2000-06-07,102.89,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
55,10906X0039/C2-1,BSS002MNYD,2000-06-08,102.9,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
56,10906X0039/C2-1,BSS002MNYD,2000-06-09,102.9,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
57,10906X0039/C2-1,BSS002MNYD,2000-06-10,102.91,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
58,10906X0039/C2-1,BSS002MNYD,2000-06-11,102.88,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
59,10906X0039/C2-1,BSS002MNYD,2000-06-12,102.84,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
60,10906X0039/C2-1,BSS002MNYD,2000-06-13,102.8,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
61,10906X0039/C2-1,BSS002MNYD,2000-06-14,102.8,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
62,10906X0039/C2-1,BSS002MNYD,2000-06-15,102.82,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
63,10906X0039/C2-1,BSS002MNYD,2000-06-16,102.87,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
64,10906X0039/C2-1,BSS002MNYD,2000-06-17,102.95,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
65,10906X0039/C2-1,BSS002MNYD,2000-06-18,103.01,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
66,10906X0039/C2-1,BSS002MNYD,2000-06-19,103.05,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
67,10906X0039/C2-1,BSS002MNYD,2000-06-20,103.09,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
68,10906X0039/C2-1,BSS002MNYD,2000-06-21,103.12,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
69,10906X0039/C2-1,BSS002MNYD,2000-06-22,103.16,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
70,10906X0039/C2-1,BSS002MNYD,2000-06-23,103.21,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
71,10906X0039/C2-1,BSS002MNYD,2000-06-24,103.25,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
72,10906X0039/C2-1,BSS002MNYD,2000-06-25,103.28,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
73,10906X0039/C2-1,BSS002MNYD,2000-06-26,103.33,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
74,10906X0039/C2-1,BSS002MNYD,2000-06-27,103.36,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
75,10906X0039/C2-1,BSS002MNYD,2000-06-28,103.38,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
76,10906X0039/C2-1,BSS002MNYD,2000-06-29,103.39,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
77,10906X0039/C2-1,BSS002MNYD,2000-06-30,103.41,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
78,10906X0039/C2-1,BSS002MNYD,2000-07-01,103.45,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
79,10906X0039/C2-1,BSS002MNYD,2000-07-02,103.49,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
80,10906X0039/C2-1,BSS002MNYD,2000-07-03,103.55,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
81,10906X0039/C2-1,BSS002MNYD,2000-07-04,103.63,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
82,10906X0039/C2-1,BSS002MNYD,2000-07-05,103.65,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
83,10906X0039/C2-1,BSS002MNYD,2000-07-06,103.65,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
84,10906X0039/C2-1,BSS002MNYD,2000-07-07,103.65,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
85,10906X0039/C2-1,BSS002MNYD,2000-07-08,103.67,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
86,10906X0039/C2-1,BSS002MNYD,2000-07-09,103.69,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
87,10906X0039/C2-1,BSS002MNYD,2000-07-10,103.74,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
88,10906X0039/C2-1,BSS002MNYD,2000-07-11,103.78,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
89,10906X0039/C2-1,BSS002MNYD,2000-07-12,103.8,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
90,10906X0039/C2-1,BSS002MNYD,2000-07-13,103.82,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
91,10906X0039/C2-1,BSS002MNYD,2000-07-14,103.81,Valeur mesurée,Bureau de Recherches Géologiques et Minières (231)
