,code_bss,bss_id,date_index,niveau_nappe_eau,mode_obtention,nom_producteur,latitude,longitude,sunrise,sunset,daylight_duration,precipitation_sum,shortwave_radiation_sum,et0_fao_evapotranspiration,cloud_cover_mean,pressure_msl_mean,wind_speed_10m_mean,soil_moisture_0_to_100cm_mean,soil_temperature_0_to_100cm_mean
0,10906X0039/C2-1,BSS002MNYD,2017-01-01,101.85,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-01T03:13,2017-01-01T15:11,43084.54,0.0,24.91,7.8,0,1011.1,16.9,0.145,32.2
1,10906X0039/C2-1,BSS002MNYD,2017-01-02,101.89,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-02T03:14,2017-01-02T15:12,43086.65,0.0,24.92,8.2,0,1011.4,17.4,0.145,32.1
2,10906X0039/C2-1,BSS002MNYD,2017-01-03,101.98,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-03T03:14,2017-01-03T15:12,43088.92,0.0,25.11,7.83,6,1012.1,16.8,0.145,32.1
3,10906X0039/C2-1,BSS002MNYD,2017-01-04,101.98,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-04T03:15,2017-01-04T15:13,43091.35,0.0,25.01,7.14,1,1011.2,14.1,0.145,32.2
4,10906X0039/C2-1,BSS002MNYD,2017-01-05,102.01,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-05T03:15,2017-01-05T15:13,43093.95,0.0,25.15,7.67,25,1010.7,15.2,0.144,32.3
5,10906X0039/C2-1,BSS002MNYD,2017-01-06,102.05,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-06T03:16,2017-01-06T15:14,43096.7,0.0,25.29,8.57,0,1011.7,17.3,0.144,32.3
6,10906X0039/C2-1,BSS002MNYD,2017-01-07,102.12,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-07T03:16,2017-01-07T15:14,43099.61,0.0,25.6,8.73,0,1011.4,16.7,0.144,32.1
7,10906X0039/C2-1,BSS002MNYD,2017-01-08,102.14,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-08T03:16,2017-01-08T15:15,43102.67,0.0,25.38,8.57,2,1009.5,15.4,0.144,31.9
8,10906X0039/C2-1,BSS002MNYD,2017-01-09,102.15,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-09T03:17,2017-01-09T15:15,43105.88,0.0,25.91,8.98,0,1009.7,18.9,0.144,31.8
9,10906X0039/C2-1,BSS002MNYD,2017-01-10,102.14,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-10T03:17,2017-01-10T15:16,43109.29,0.0,26.01,9.18,7,1011.1,21.7,0.144,31.7
10,10906X0039/C2-1,BSS002MNYD,2017-01-11,102.1,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-11T03:17,2017-01-11T15:16,43112.89,0.0,25.69,8.71,50,1011.8,18.9,0.143,31.7
11,10906X0039/C2-1,BSS002MNYD,2017-01-12,102.12,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-12T03:18,2017-01-12T15:16,43116.69,0.0,25.79,8.25,18,1012.0,15.0,0.143,31.7
12,10906X0039/C2-1,BSS002MNYD,2017-01-13,102.12,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-13T03:18,2017-01-13T15:17,43120.65,0.0,25.66,7.58,22,1010.2,12.7,0.143,31.7
13,10906X0039/C2-1,BSS002MNYD,2017-01-14,102.08,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-14T03:18,2017-01-14T15:17,43124.8,0.0,25.93,7.59,25,1009.4,12.2,0.143,31.8
14,10906X0039/C2-1,BSS002MNYD,2017-01-15,102.03,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-15T03:19,2017-01-15T15:18,43129.11,0.0,26.1,8.34,0,1010.8,16.5,0.143,31.9
15,10906X0039/C2-1,BSS002MNYD,2017-01-16,101.98,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-16T03:19,2017-01-16T15:18,43133.58,0.0,26.15,7.98,0,1011.8,18.4,0.143,31.8
16,10906X0039/C2-1,BSS002MNYD,2017-01-17,101.94,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-17T03:19,2017-01-17T15:18,43138.19,0.0,25.6,7.64,9,1011.5,15.8,0.143,31.9
17,10906X0039/C2-1,BSS002MNYD,2017-01-18,101.92,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-18T03:20,2017-01-18T15:19,43142.96,0.0,24.96,7.68,53,1011.7,14.3,0.143,32.1
18,10906X0039/C2-1,BSS002MNYD,2017-01-19,101.9,Valeur reconstituée,Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon  (20001584000016),2.685378283,42.685696389,2017-01-19T03:20,2017-01-19T15:19,43147.86,0.0,25.83,8.87,50,1011.7,16.2,0.143,32.3
