horizon,changepoint_prior_scale,seasonality_prior_scale,changepoint_range,rmse,mae,mape,std_y,r2,rmse_std_ratio,rmse_mae,horizon_degradation,select_score
14,0.01,1.0,0.8,0.7287505604929302,0.5886939256927993,0.0057276488064053905,1.11953503641192,0.6027865770990964,0.6509403786312542,1.2379107863824252,1.1598627893130597,0.8306898806673927
14,0.01,10.0,0.8,0.7287929487347629,0.5872154498646713,0.005713408922350875,1.11953503641192,0.6027320939610039,0.6509782409941585,1.2410997512117898,1.1607316308289837,0.8317516132708053
14,0.01,0.1,0.8,0.729412745528523,0.5875640993968668,0.005716711998195929,1.11953503641192,0.6020678707674276,0.6515318608216777,1.2414181640390614,1.1623604438272748,0.8330427761052582
14,0.3,0.1,0.8,0.7151806927104984,0.5698798279765668,0.005551288320475385,1.11953503641192,0.6169444998319242,0.6388193932747593,1.2549675521062773,1.2275275909875194,0.8399530905285193
14,0.1,1.0,0.8,0.7187676739052515,0.5731521435444622,0.005582002019122549,1.11953503641192,0.6131705547994668,0.6420233851804074,1.2540608667365007,1.220487181573786,0.8417741180591858
14,0.05,1.0,0.8,0.7224897123151174,0.5802060589417184,0.005650951660585917,1.11953503641192,0.6091715226505501,0.6453480139671891,1.2452295200655452,1.217380688942654,0.8430863303400378
14,0.1,10.0,0.8,0.7193926496146499,0.5730316617039507,0.005581511719180328,1.11953503641192,0.6124646948129983,0.6425816309601923,1.2554151850448967,1.2218496146645164,0.8432462036009999
14,0.5,0.1,0.8,0.718197259797888,0.572390238225692,0.005576002165291601,1.11953503641192,0.6136736103918148,0.641513875349262,1.2547335922851721,1.2281984741775804,0.8436483987637886
14,0.05,10.0,0.8,0.7247352336042143,0.579467714934242,0.005643142830978974,1.11953503641192,0.6067781444026452,0.6473537763739592,1.2506913067390775,1.2133497901993888,0.8457410147036559
14,0.3,1.0,0.8,0.7201375650194495,0.5729494013995389,0.005580825571270679,1.11953503641192,0.6116060036456902,0.6432470102297746,1.25689557098825,1.226705150344742,0.8459740267291767
14,0.3,10.0,0.8,0.720785821761713,0.5741116804965911,0.0055923574799699,1.11953503641192,0.6109403389256542,0.6438260512791206,1.255480155251767,1.2275208679931502,0.8466549500401956
14,0.1,0.1,0.8,0.722793387763254,0.5763523400816812,0.005613973324821006,1.11953503641192,0.6087899289944918,0.6456192653691192,1.254082507344065,1.2214089591559985,0.8467806955317786
14,0.05,0.1,0.8,0.7254117449756909,0.5818672192513901,0.005666822150288963,1.11953503641192,0.6060602920826665,0.6479580552482004,1.2466963612574364,1.217834746003885,0.8469845812548261
14,0.5,10.0,0.8,0.7202668351915302,0.5731049335534629,0.005582280902005011,1.11953503641192,0.6114964116097412,0.6433624779622495,1.2567800293143683,1.231541927891942,0.847599510965946
14,0.5,1.0,0.8,0.7239979267494162,0.5753705216613476,0.005604882067878823,1.11953503641192,0.6075182326969016,0.6466951932739955,1.2583159885544988,1.2249630385329395,0.850301825173778
